Code,Airport
BPM,Begumpet Airport
BPN,Sultan Aji Muhamad Sulaiman Airport
BPS,Porto Seguro Airport
BPT,Southeast Texas Regional Airport
BPX,Qamdo Bangda Airport
BPY,Besalampy Airport
BQA,Dr.Juan C. Angara Airport
BQB,Busselton Regional Airport
BQD,B?§?øardalur Airport
BQE,Bubaque Airport
BQG,Bogorodskoye Airport
BQH,London Biggin Hill Airport
BQI,Bagani Airport
BQJ,Batagay Airport
BQK,Brunswick Golden Isles Airport
BQL,Boulia Airport
BQN,Rafael Hernandez Airport
BQO,Bouna Airport
BQQ,Barra Airport
BQS,Ignatyevo Airport
BQT,Brest Airport
BQU,J F Mitchell Airport
BQV,Bartlett Cove Seaplane Base
BQW,Balgo Hill Airport
BR-,Tucuma Airport
BRA,Barreiras Airport
BRB,Barreirinhas Airport
BRC,San Carlos De Bariloche Airport
BRD,Brainerd Lakes Regional Airport
BRE,Bremen Airport
BRG,Whitesburg Municipal Airport
BRI,Bari Karol Wojty?a Airport
BRK,Bourke Airport
BRL,Southeast Iowa Regional Airport
BRM,Barquisimeto International Airport
BRN,Bern Belp Airport
BRO,Brownsville South Padre Island International Airport
BRP,Biaru Airport
BRQ,Brno-Tu?any Airport
BRR,Barra Airport
BRS,Bristol Airport
BRT,Bathurst Island Airport
BRU,Brussels Airport
BRV,Bremerhaven Airport
BRW,Wiley Post Will Rogers Memorial Airport
BRX,Maria Montez International Airport
BRY,Samuels Field
BSA,Bosaso Airport
BSB,Presidente Juscelino Kubistschek International Airport
BSC,Jos?? Celestino Mutis Airport
BSD,Baoshan Yunduan Airport
BSE,Sematan Airport
BSF,Bradshaw Army Airfield
BSG,Bata Airport
BSI,Balesin Island Airport
BSJ,Bairnsdale Airport
BSK,Biskra Airport
BSL,EuroAirport Basel-Mulhouse-Freiburg Airport
BSM,Bishe Kola Air Base
BSN,Bossangoa Airport
BSO,Basco Airport
BSP,Bensbach Airport
BSQ,Bisbee Municipal Airport
BSR,Basrah International Airport
BSS,Balsas Airport
BST,Bost Airport
BSU,Basankusu Airport
BSV,Besakoa Airport
BSW,Boswell Bay Airport
BSX,Pathein Airport
BSY,Bardera Airport
BSZ,Bartletts Airport
BTA,Bertoua Airport
BTB,Betou Airport
BTC,Batticaloa Airport
BTD,Brunette Downs Airport
BTE,Sherbro International Airport
BTF,Skypark Airport
BTG,Batangafo Airport
BTH,Hang Nadim International Airport
BTI,Barter Island LRRS Airport
BTJ,Sultan Iskandar Muda International Airport
BTK,Bratsk Airport
BTL,W K Kellogg Airport
BTM,Bert Mooney Airport
BTN,Marlboro County Jetport H.E. Avent Field
BTO,Botopasi Airport
BTP,Pittsburgh/Butler Regional Airport
BTQ,Butare Airport
BTR,Baton Rouge Metropolitan Airport
BTS,M. R. ÿtef?­nik Airport
BTT,Bettles Airport
BTU,Bintulu Airport
BTV,Burlington International Airport
BTW,Batu Licin Airport
BTX,Betoota Airport
BTY,Beatty Airport
BTZ,Bursa Airport
BUA,Buka Airport
BUB,Cram Field
BUC,Burketown Airport
BUD,Budapest Liszt Ferenc International Airport
BUF,Buffalo Niagara International Airport
BUG,Benguela Airport
BUI,Bokondini Airport
BUJ,Bou Saada Airport
BUK,Al-Bough Airport
BUL,Bulolo Airport
BUM,Butler Memorial Airport
BUN,Gerardo Tobar L??pez Airport
BUO,Burao Airport
BUP,Bhatinda Air Force Station
BUQ,Joshua Mqabuko Nkomo International Airport
BUR,Bob Hope Airport
BUS,Batumi International Airport
BUT,Bathpalathang Airport
BUU,Muara Bungo Airport
BUV,Bella Union Airport
BUW,Betoambari Airport
BUX,Bunia Airport
BUY,Bunbury Airport
BUZ,Bushehr Airport
BVA,Paris Beauvais Till?? Airport
BVB,Atlas Brasil Cantanhede Airport
BVC,Rabil Airport
BVE,Brive Souillac Airport
BVF,Bui-Dama Airport
BVG,Berlev?g Airport
BVH,Brigadeiro Camar?œo Airport
BVI,Birdsville Airport
BVK,Huacaraje Airport
BVL,Baures Airport
BVM,Belmonte Airport
BVO,Bartlesville Municipal Airport
BVP,Bolovip Airstrip
BVR,Esperadinha Airport
BVS,Breves Airport
BVU,Beluga Airport
BVV,Burevestnik Airport
BVW,Batavia Downs Airport
BVX,Batesville Regional Airport
BVY,Beverly Municipal Airport
BVZ,Beverley Springs Airport
BWA,Gautam Buddha Airport
BWB,Barrow Island Airport
BWC,Brawley Municipal Airport
BWD,Brownwood Regional Airport
BWE,Braunschweig-Wolfsburg Airport
BWF,Barrow Walney Island Airport
BWG,Bowling Green Warren County Regional Airport
BWH,Butterworth Airport
BWI,Baltimore/Washington International Thurgood Marshall Airport
BWJ,Bawan Airport
BWK,Bol Airport
BWL,Earl Henry Airport
BWM,Bowman Regional Airport
BWN,Brunei International Airport
BWO,Balakovo Airport
BWP,Bewani Airport
BWQ,Brewarrina Airport
BWT,Wynyard Airport
BWU,Sydney Bankstown Airport
BWW,Las Brujas Airport
BWX,Blimbingsari Airport
BWY,RAF Bentwaters
BXA,George R Carr Memorial Air Field
BXB,Babo Airport
BXD,Bade Airport
BXE,Bakel Airport
BXF,Bellburn Airstrip
BXG,Bendigo Airport
BXH,Balkhash Airport
BXI,Boundiali Airport
BXJ,Boralday Airport
BXK,Buckeye Municipal Airport
BXL,Blue Lagoon Seaplane Base
BXM,Batom Airport
BXN,ImsŽñk Airport
BXO,Buochs Airport
BXP,Bia?a Podlaska Airfield
BXR,Bam Airport
BXS,Borrego Valley Airport
BXT,Bontang Airport
BXU,Bancasi Airport
BXV,Brei?ødalsv??k Airport
BXW,Bawean Airport
BXX,Borama Airport
BXY,Krainiy Airport
BXZ,Bunsil Airport
BYA,Boundary Airport
BYB,Dibba Airport
BYC,Yacuiba Airport
BYD,Al-Bayda Airport
BYF,Albert-Bray Airport
BYG,Johnson County Airport
BYH,Arkansas International Airport
BYI,Burley Municipal Airport
BYJ,Beja Airport / Airbase
BYK,Bouak?? Airport
BYL,Bella Yella Airport
BYM,Carlos Manuel de Cespedes Airport
BYN,Bayankhongor Airport
BYO,Bonito Airport
BYP,Barimunya Airport
BYQ,Bunyu Airport
BYR,L??s?? Airport
BYS,Bicycle Lake Army Air Field
BYT,Bantry Aerodrome
BYU,Bayreuth Airport
BYV,Beira Lake Seaplane Base
BYW,Blakely Island Airport
BYX,Baniyala Airport
BZA,San Pedro Airport
BZB,Bazaruto Island Airport
BZC,Umberto Modiano Airport
BZD,Balranald Airport
BZE,Philip S. W. Goldson International Airport
BZF,Benton Field
BZG,Bydgoszcz Ignacy Jan Paderewski Airport
BZH,Bumi Airport
BZI,BalŽñkesir Merkez Airport
BZK,Bryansk Airport
BZL,Barisal Airport
BZM,Bemolanga Airport
BZN,Gallatin Field
BZO,Bolzano Airport
BZP,Bizant Airport
BZR,B??ziers-Vias Airport
BZS,Buzzards Point Seaplane Base
BZT,Eagle Air Park
BZU,Buta Zega Airport
BZV,Maya-Maya Airport
BZX,Bazhong Enyang Airport
BZY,BŽŸl??i International Airport
BZZ,RAF Brize Norton
CAA,Catacamas Airport
CAB,Cabinda Airport
CAC,Cascavel Airport
CAD,Wexford County Airport
CAE,Columbia Metropolitan Airport
CAF,Carauari Airport
CAG,Cagliari Elmas Airport
CAH,C?ÿ Mau Airport
CAI,Cairo International Airport
CAJ,Canaima Airport
CAK,Akron Canton Regional Airport
CAL,Campbeltown Airport
CAM,Camiri Airport
CAN,Guangzhou Baiyun International Airport
CAO,Clayton Municipal Airpark
CAP,Cap Haitien International Airport
CAQ,Juan H White Airport
CAR,Caribou Municipal Airport
CAS,Anfa Airport
CAT,Cascais Airport
CAU,Caruaru Airport
CAV,Cazombo Airport
CAW,Bartolomeu Lisandro Airport
CAX,Carlisle Airport
CAY,Cayenne-Rochambeau Airport
CAZ,Cobar Airport
CBB,Jorge Wilsterman International Airport
CBC,Cherrabun Airport
CBD,Car Nicobar Air Force Station
CBE,Greater Cumberland Regional Airport
CBF,Council Bluffs Municipal Airport
CBG,Cambridge Airport
CBH,B??char Boudghene Ben Ali Lotfi Airport
CBI,Cape Barren Island Airport
CBJ,Cabo Rojo Airport
CBK,Shalz Field
CBL,"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar"
CBM,Columbus Air Force Base
CBN,Penggung Airport
CBO,Awang Airport
CBQ,Margaret Ekpo International Airport
CBR,Canberra International Airport
CBS,Oro Negro Airport
CBT,Catumbela Airport
CBU,Cottbus-Drewitz Airport
CBV,Coban Airport
CBW,Campo Mour?œo Airport
CBX,Condobolin Airport
CBY,Canobie Airport
CCA,Chimore Airport
CCB,Cable Airport
CCC,Jardines Del Rey Airport
CCD,Century City Heliport
CCE,Capital International Airport
CCF,Carcassonne Airport
CCG,Crane County Airport
CCH,Chile Chico Airport
CCI,Conc??rdia Airport
CCJ,Calicut International Airport
CCK,Cocos (Keeling) Islands Airport
CCL,Chinchilla Airport
CCM,Diom??cio Freitas Airport
CCN,Chakcharan Airport
CCO,Carimagua Airport
CCP,Carriel Sur Airport
CCR,Buchanan Field
CCS,Sim??n Bol??var International Airport
CCT,Colonia Catriel Airport
CCU,Netaji Subhash Chandra Bose International Airport
CCV,Craig Cove Airport
CCW,Cowell Airport
CCX,C?­ceres Airport
CCY,Northeast Iowa Regional Airport
CCZ,Chub Cay Airport
CDA,Cooinda Airport
CDB,Cold Bay Airport
CDC,Cedar City Regional Airport
CDD,Cauquira Airport
CDE,Chengde Puning Airport
CDF,Cortina Airport
CDG,Charles de Gaulle International Airport
CDH,Harrell Field
CDI,Cachoeiro do Itapemirim Airport
CDJ,Concei???œo do Araguaia Airport
CDL,Candle 2 Airport
CDN,Woodward Field
CDO,Cradock Airport
CDP,Kadapa Airport
CDQ,Croydon Airport
CDR,Chadron Municipal Airport
CDS,Childress Municipal Airport
CDT,Castell??n-Costa Azahar Airport
CDT,Castell??n-Costa Azahar Airport
CDU,Camden Airport
CDV,Merle K (Mudhole) Smith Airport
CDW,Essex County Airport
CDY,Cagayan de Sulu Airport
CEA,Cessna Aircraft Field
CEB,Mactan Cebu International Airport
CEC,Jack Mc Namara Field Airport
CED,Ceduna Airport
CEE,Cherepovets Airport
CEF,Westover ARB/Metropolitan Airport
CEG,Hawarden Airport
CEH,Chelinda Malawi Airport
CEI,Chiang Rai International Airport
CEJ,Chernihiv Shestovitsa Airport
CEK,Chelyabinsk Balandino Airport
CEL,Cape Eleuthera Airport
CEM,Central Airport
CEN,Ciudad Obreg??n International Airport
CEO,Waco Kungo Airport
CEP,Concepci??n Airport
CEQ,Cannes-Mandelieu Airport
CER,Cherbourg-Maupertus Airport
CES,Cessnock Airport
CET,Cholet Le Pontreau Airport
CEU,Oconee County Regional Airport
CEV,Mettel Field
CEW,Bob Sikes Airport
CEX,Chena Hot Springs Airport
CEY,Kyle Oakley Field
CEZ,Cortez Municipal Airport
CFB,Cabo Frio Airport
CFC,Ca??ador Airport
CFD,Coulter Field
CFE,Clermont-Ferrand Auvergne Airport
CFF,Cafunfo Airport
CFG,Jaime Gonzalez Airport
CFH,Clifton Hills Airport
CFI,Camfield Airport
CFK,Ech Cheliff Airport
CFM,Conklin (Leismer) Airport
CFN,Donegal Airport
CFO,Confresa Airport
CFP,Carpentaria Downs Airport
CFQ,Creston Valley Regional Airport - Art Sutcliffe Field
CFR,Caen-Carpiquet Airport
CFS,Coffs Harbour Airport
CFT,Greenlee County Airport
CFU,Ioannis Kapodistrias International Airport
CFV,Coffeyville Municipal Airport
CGA,Craig Seaplane Base
CGB,Marechal Rondon Airport
CGC,Cape Gloucester Airport
CGD,Changde Airport
CGE,Cambridge Dorchester Airport
CGF,Cuyahoga County Airport
CGG,Casiguran Airport
CGH,Congonhas Airport
CGI,Cape Girardeau Regional Airport
CGJ,Kasompe Airport
CGK,Soekarno-Hatta International Airport
CGM,Camiguin Airport
CGN,Cologne Bonn Airport
CGO,Zhengzhou Xinzheng International Airport
CGP,Shah Amanat International Airport
CGQ,Longjia Airport
CGR,Campo Grande Airport
CGS,College Park Airport
CGT,Chinguetti Airport
CGV,Caiguna Airport
CGX,Chicago Meigs Airport
CGY,Laguindingan Airport
CGZ,Casa Grande Municipal Airport
CHA,Lovell Field
CHB,Chilas Airport
CHC,Christchurch International Airport
CHF,Jinhae Airbase/Airport (G-813/K-10)
CHG,Chaoyang Airport
CHH,Chachapoyas Airport
CHJ,Chipinge Airport
CHK,Chickasha Municipal Airport
CHL,Challis Airport
CHM,Teniente FAP Jaime A De Montreuil Morales Airport
CHN,Jeon Ju Airport (G-703)
CHO,Charlottesville Albemarle Airport
CHP,Circle Hot Springs Airport
CHQ,Chania International Airport
CHR,"Ch?›teauroux-D??ols ""Marcel Dassault"" Airport"
CHS,Charleston Air Force Base-International Airport
CHT,Chatham Islands-Tuuta Airport
CHU,Chuathbaluk Airport
CHV,Aerodromo de Chaves
CHX,Cap Manuel Ni?ño International Airport
CHY,Choiseul Bay Airport
CHZ,Chiloquin State Airport
CIA,Ciampinoƒ??G. B. Pastine International Airport
CIC,Chico Municipal Airport
CID,The Eastern Iowa Airport
CIE,Collie Airport
CIF,Chifeng Airport
CIG,Craig Moffat Airport
CIH,Changzhi Airport
CII,??ŽñldŽñr Airport
CIJ,Capit?­n An??bal Arab Airport
CIK,Chalkyitsik Airport
CIL,Council Airport
CIM,Cimitarra Airport
CIN,Arthur N Neu Airport
CIO,Teniente Col Carmelo Peralta Airport
CIP,Chipata Airport
CIQ,Chiquimula Airport
CIR,Cairo Regional Airport
CIS,Canton Island Airport
CIT,Shymkent Airport
CIU,Chippewa County International Airport
CIV,Chomley Seaplane Base
CIW,Canouan Airport
CIX,Capitan FAP Jose A Quinones Gonzales International Airport
CIY,Comiso Airport
CIZ,Coari Airport
CJA,Mayor General FAP Armando Revoredo Iglesias Airport
CJB,Coimbatore International Airport
CJC,El Loa Airport
CJF,Coondewanna Airport
CJH,Chilko Lake (Tsylos Park Lodge) Airport
CJJ,Cheongju International Airport/Cheongju Air Base (K-59/G-513)
CJL,Chitral Airport
CJM,Chumphon Airport
CJN,Nusawiru Airport
CJS,Abraham Gonz?­lez International Airport
CJT,San Antonio Copalar Airport
CJU,Jeju International Airport
CKA,Kegelman AF Aux Field
CKB,North Central West Virginia Airport
CKC,Cherkasy International Airport
CKD,Crooked Creek Airport
CKE,Lampson Field
CKG,Chongqing Jiangbei International Airport
CKH,Chokurdakh Airport
CKI,Croker Island Airport
CKK,Sharp County Regional Airport
CKL,Chkalovskiy Air Base
CKM,Fletcher Field
CKN,Crookston Municipal Kirkwood Field
CKO,Corn??lio Proc??pio Airport
CKR,Crane Island Airstrip
CKS,Caraj?­s Airport
CKT,Sarakhs Airport
CKU,Cordova Municipal Airport
CKV,Clarksvilleƒ??Montgomery County Regional Airport
CKW,Graeme Rowley Aerodrome
CKX,Chicken Airport
CKY,Conakry International Airport
CKZ,??anakkale Airport
CLA,Comilla Airport
CLB,Castlebar Airport
CLC,Clear Lake Metroport
CLD,Mc Clellan-Palomar Airport
CLE,Cleveland Hopkins International Airport
CLG,Coalinga Airport
CLG,New Coalinga Municipal Airport
CLH,Coolah Airport
CLI,Clintonville Municipal Airport
CLJ,Cluj-Napoca International Airport
CLK,Clinton Regional Airport
CLL,Easterwood Field
CLM,William R Fairchild International Airport
CLN,Brig. Lysias Augusto Rodrigues Airport
CLO,Alfonso Bonilla Aragon International Airport
CLP,Clarks Point Airport
CLQ,Licenciado Miguel de la Madrid Airport
CLR,Cliff Hatfield Memorial Airport
CLS,Chehalis Centralia Airport
CLT,Charlotte Douglas International Airport
CLU,Columbus Municipal Airport
CLV,Nelson Ribeiro Guimar?œes Airport
CLW,Clearwater Air Park
CLX,Clorinda Airport
CLY,Calvi-Sainte-Catherine Airport
CLZ,Calabozo Airport
CMA,Cunnamulla Airport
CMB,Bandaranaike International Colombo Airport
CMC,Camocim Airport
CMD,Cootamundra Airport
CME,Ciudad del Carmen International Airport
CMF,Chamb??ry-Savoie Airport
CMG,Corumb?­ International Airport
CMH,John Glenn Columbus International Airport
CMI,University of Illinois Willard Airport
CMJ,Chi Mei Airport
CMK,Club Makokola Airport
CML,Camooweal Airport
CMM,Carmelita Airport
CMN,Mohammed V International Airport
CMO,Obbia Airport
CMP,Santana do Araguaia Airport
CMQ,Clermont Airport
CMR,Colmar-Houssen Airport
CMS,Scusciuban Airport
CMT,New Camet?­ Airport
CMU,Chimbu Airport
CMV,Coromandel Aerodrome
CMW,Ignacio Agramonte International Airport
CMX,Houghton County Memorial Airport
CMY,Sparta Fort Mc Coy Airport
CMZ,Caia Airport
CNA,Cananea National Airport
CNB,Coonamble Airport
CNC,Coconut Island Airport
CND,Mihail KogŽŸlniceanu International Airport
CNE,Fremont County Airport
CNF,Tancredo Neves International Airport
CNG,Cognac-Ch?›teaubernard (BA 709) Air Base
CNH,Claremont Municipal Airport
CNI,Changhai Airport
CNJ,Cloncurry Airport
CNK,Blosser Municipal Airport
CNL,Sindal Airport
CNM,Cavern City Air Terminal
CNN,Kannur International Airport
CNO,Chino Airport
CNP,Neerlerit Inaat Airport
CNQ,Corrientes Airport
CNR,Cha?ñaral Airport
CNS,Cairns International Airport
CNT,Charata Airport
CNU,Chanute Martin Johnson Airport
CNV,S??crates Rezende Airport
CNW,TSTC Waco Airport
CNX,Chiang Mai International Airport
CNY,Canyonlands Field
CNZ,Cangamba Airport
COA,Columbia Airport
COB,Coolibah Airport
COC,Comodoro Pierrestegui Airport
COD,Yellowstone Regional Airport
COE,Coeur D'Alene - Pappy Boyington Field
COF,Patrick Air Force Base
COG,Mandinga Airport
COH,Cooch Behar Airport
COI,Merritt Island Airport
COJ,Coonabarabran Airport
COK,Cochin International Airport
COL,Coll Airport
COM,Coleman Municipal Airport
CON,Concord Municipal Airport
COO,Cadjehoun Airport
COP,Cooperstown-Westville Airport
COQ,Choibalsan Airport
COR,Ingeniero Ambrosio Taravella Airport
COS,City of Colorado Springs Municipal Airport
COT,Cotulla-La Salle County Airport
COU,Columbia Regional Airport
COW,Tambillos Airport
COX,Congo Town Airport
COY,Coolawanyah Airport
COZ,Constanza - Expedici??n 14 de Junio National Airport
CPA,Cape Palmas Airport
CPB,Capurgan?­ Airport
CPC,Aviador C. Campos Airport
CPD,Coober Pedy Airport
CPE,Ingeniero Alberto Acu?ña Ongay International Airport
CPF,Ngloram Airport
CPG,Carmen De Patagones Airport
CPH,Copenhagen Kastrup Airport
CPI,Cape Orford Airport
CPL,Chaparral Airport
CPM,Compton Woodley Airport
CPN,Cape Rodney Airport
CPO,Desierto de Atacama Airport
CPP,Coposa Airport
CPQ,Amarais Airport
CPR,Casper-Natrona County International Airport
CPS,St Louis Downtown Airport
CPT,Cape Town International Airport
CPU,Cururupu Airport
CPV,Presidente Jo?œo Suassuna Airport
CPX,Benjamin Rivera Noriega Airport
CQA,Canarana Airport
CQD,Shahrekord Airport
CQF,Calais-Dunkerque Airport
CQM,Ciudad Real Central Airport
CQP,Cape Flattery Airport
CQS,Costa Marques Airport
CQT,Caquetania Airport
CRA,Craiova Airport
CRB,Collarenebri Airport
CRC,Santa Ana Airport
CRD,General E. Mosconi Airport
CRE,Grand Strand Airport
CRF,Carnot Airport
CRG,Jacksonville Executive at Craig Airport
CRH,Cherrabah Airport
CRI,Colonel Hill Airport
CRJ,Coorabie Airport
CRK,Diosdado Macapagal International Airport
CRL,Brussels South Charleroi Airport
CRM,Catarman National Airport
CRO,Corcoran Airport
CRP,Corpus Christi International Airport
CRQ,Caravelas Airport
CRR,Ceres Airport
CRS,C David Campbell Field Corsicana Municipal Airport
CRT,Z M Jack Stell Field
CRU,Lauriston Airport
CRV,Crotone Airport
CRW,Yeager Airport
CRX,Roscoe Turner Airport
CRY,Carlton Hill Airport
CRZ,Turkmenabat Airport
CSA,Colonsay Airstrip
CSB,Caransebe? Airport
CSC,Mojica Airport
CSD,Cresswell Downs Airport
CSE,Crested Butte Airpark
CSF,Creil Air Base
CSG,Columbus Metropolitan Airport
CSH,Solovki Airport
CSI,Casino Airport
CSK,Cap Skirring Airport
CSM,Clinton Sherman Airport
CSN,Carson Airport
CSO,Cochstedt Airport
CSQ,Creston Municipal Airport
CSR,Casuarito Airport
CSS,Cassil?›ndia Airport
CST,Castaway Island Seaplane Base
CSU,Santa Cruz do Sul Airport
CSV,Crossville Memorial Whitson Field
CSX,Changsha Huanghua International Airport
CSY,Cheboksary Airport
CSZ,Brigadier D.H.E. Ruiz Airport
CTA,Catania-Fontanarossa Airport
CTB,Cut Bank International Airport
CTC,Catamarca Airport
CTD,Alonso Valderrama Airport
CTE,Carti Airport
CTF,Coatepeque Airport
CTG,Rafael Nu?ñez International Airport
CTH,Chester County G O Carlson Airport
CTI,Cuito Cuanavale Airport
CTK,Canton Municipal Airport
CTL,Charleville Airport
CTM,Chetumal International Airport
CTN,Cooktown Airport
CTO,Calverton Executive Airpark
CTP,Carutapera Airport
CTQ,Santa Vit??ria do Palmar Airport
CTR,Cattle Creek Airport
CTS,New Chitose Airport
CTT,Le Castellet Airport
CTU,Chengdu Shuangliu International Airport
CTX,Cortland County Chase Field
CTY,Cross City Airport
CTZ,Sampson County Airport
CUA,Ciudad Constituci??n Airport
CUB,Jim Hamilton L.B. Owens Airport
CUC,Camilo Daza International Airport
CUD,Caloundra Airport
CUE,Mariscal Lamar Airport
CUF,Cuneo International Airport
CUG,Cudal Airport
CUH,Cushing Municipal Airport
CUI,Currillo Airport
CUJ,Culion Airport
CUK,Caye Caulker Airport
CUL,Bachigualato Federal International Airport
CUM,Cuman?­ (Antonio Jos?? de Sucre) Airport
CUN,Canc?§n International Airport
CUO,Carur?§ Airport
CUP,General Francisco Berm?§dez Airport
CUQ,Coen Airport
CUR,Hato International Airport
CUT,Cutral-Co Airport
CUU,General Roberto Fierro Villalobos International Airport
CUV,Casigua El Cubo Airport
CUY,Cue Airport
CUZ,Alejandro Velasco Astete International Airport
CVB,Chungribu Airport
CVC,Cleve Airport
CVE,Cove?ñas Airport
CVF,Courchevel Airport
CVG,Cincinnati Northern Kentucky International Airport
CVH,Caviahue Airport
CVI,Caleta Olivia Airport
CVJ,General Mariano Matamoros Airport
CVL,Cape Vogel Airport
CVM,General Pedro Jose Mendez International Airport
CVN,Clovis Municipal Airport
CVO,Corvallis Municipal Airport
CVQ,Carnarvon Airport
CVR,Hughes Airport
CVS,Cannon Air Force Base
CVT,Coventry Airport
CVU,Corvo Airport
CWA,Central Wisconsin Airport
CWB,Afonso Pena Airport
CWC,Chernivtsi International Airport
CWE,Cairo West Airport
CWF,Chennault International Airport
CWI,Clinton Municipal Airport
CWJ,Cangyuan Washan Airport
CWL,Cardiff International Airport
CWP,Campbellpore Airport
CWR,Cowarie Airport
CWS,Center Island Airport
CWT,Cowra Airport
CWW,Corowa Airport
CWX,Cochise County Airport
CXA,Caicara del Orinoco Airport
CXB,Cox's Bazar Airport
CXC,Chitina Airport
CXF,Coldfoot Airport
CXH,Vancouver Harbour Water Aerodrome
